date,date_local,source,title,link,lang,ranking
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,energy_ec_eu_news,Simplifying building renovations and EPBD implementation with digital tools and business models,https://energy.ec.europa.eu/events/simplifying-building-renovations-and-epbd-implementation-digital-tools-and-business-models-2025-09-23_en,en,4
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,energy_ec_eu_news,Power of participation - advancing public engagement in grid planning,https://energy.ec.europa.eu/events/power-participation-advancing-public-engagement-grid-planning-2025-10-23_en,en,5
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,energy_ec_eu_news,8th meeting of the Equality Platform,https://energy.ec.europa.eu/events/8th-meeting-equality-platform-2025-11-26_en,en,4
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,energy_ec_eu_news,Recurrent events,https://energy.ec.europa.eu/yearly-energy-policy-events-and-forums_en,fr,4
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,Two Czech projects secure EU funding under PSLF,https://cinea.ec.europa.eu/news-events/news/two-czech-projects-secure-eu-funding-under-pslf-2025-07-08_en,en,3
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,Water for LIFE: securing Europe’s water resilience for the future,https://cinea.ec.europa.eu/news-events/news/water-life-securing-europes-water-resilience-future-2025-07-08_en,en,4
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,EU publishes Nature Credits Roadmap to boost private investment in nature-positive actions,https://cinea.ec.europa.eu/news-events/news/eu-publishes-nature-credits-roadmap-boost-private-investment-nature-positive-actions-2025-07-07_en,en,4
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,EU invests €852 million in six innovative electric vehicle battery projects,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1727,en,5
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,21st European Symposium on Fluorine Chemistry,https://cinea.ec.europa.eu/news-events/events/21st-european-symposium-fluorine-chemistry-2025-08-03_en,en,5
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,European Research and Innovation Days 2025,https://cinea.ec.europa.eu/news-events/events/european-research-and-innovation-days-2025-2025-09-16_en,en,5
2025-07-09 03:49:08.364582+00:00,2025-07-09 05:49:08.364582+02:00,cinea_news,LIFE-IP LatViaNature International Conference – Together for Nature: merging public and private efforts,https://cinea.ec.europa.eu/news-events/events/life-ip-latvianature-international-conference-together-nature-merging-public-and-private-efforts-2025-09-25_en,en,5
